alpha,beta,chain
-0.20020795,-0.004143771,chain_0
-0.1829252,-0.0073412987,chain_0
-0.18054989,-0.0047744326,chain_0
-0.18013336,-0.010565485,chain_0
-0.18013336,-0.010565485,chain_0
-0.17713071,-0.013872962,chain_0
-0.1764184,-0.014349112,chain_0
-0.17858829,-0.016084254,chain_0
-0.19345681,-0.011239528,chain_0
-0.19402768,-0.00652299,chain_0
-0.18418856,-0.010297546,chain_0
-0.1842224,-0.010284412,chain_0
-0.19780992,-0.007101921,chain_0
-0.19705346,-0.006307229,chain_0
-0.20250185,-0.007663805,chain_0
-0.19698372,-0.0041795936,chain_0
-0.19766688,-0.0087293405,chain_0
-0.1966834,-0.008548199,chain_0
-0.19457687,-0.009068594,chain_0
-0.18649544,-0.007832009,chain_0
-0.19176668,-0.0058433404,chain_0
-0.18029606,-0.007580026,chain_0
-0.17733614,-0.009540265,chain_0
-0.17946056,-0.014197481,chain_0
-0.17466216,-0.008120221,chain_0
-0.17230512,-0.006254347,chain_0
-0.17175648,-0.0058861715,chain_0
-0.17553155,-0.0075818086,chain_0
-0.17067604,-0.0087132435,chain_0
-0.18678711,-0.0064117163,chain_0
-0.2042784,-0.008088625,chain_0
-0.20650879,-0.0054805186,chain_0
-0.21116051,-0.005353343,chain_0
-0.20661719,-0.007374059,chain_0
-0.19734792,-0.009548244,chain_0
-0.18521328,-0.0066469116,chain_0
-0.19283284,-0.0046453574,chain_0
-0.19283284,-0.0046453574,chain_0
-0.19774547,-0.009306163,chain_0
-0.20163323,-0.0064354925,chain_0
-0.19403884,-0.009226261,chain_0
-0.18754683,-0.005670232,chain_0
-0.18640444,-0.0040044617,chain_0
-0.1870823,-0.0048446157,chain_0
-0.1870823,-0.0048446157,chain_0
-0.18033566,-0.009562848,chain_0
-0.1774301,-0.005266763,chain_0
-0.1865471,-0.004734613,chain_0
-0.18286479,-0.009423707,chain_0
-0.1829475,-0.005815856,chain_0
-0.18758263,-0.0133945765,chain_0
-0.18692061,-0.013218885,chain_0
-0.1822655,-0.0047406233,chain_0
-0.18930641,-0.00944463,chain_0
-0.18812558,-0.0059786467,chain_0
-0.21166548,-0.00627543,chain_0
-0.21220967,-0.005087044,chain_0
-0.19349396,-0.009703132,chain_0
-0.19745633,-0.006728733,chain_0
-0.19727041,-0.0062684948,chain_0
-0.2008692,-0.0075537837,chain_0
-0.20370138,-0.0074617635,chain_0
-0.20269269,-0.0063505685,chain_0
-0.18249622,-0.0034352602,chain_0
-0.19288762,-0.007989244,chain_0
-0.1915053,-0.0043959855,chain_0
-0.19107294,-0.0049966765,chain_0
-0.18474492,-0.0071230894,chain_0
-0.200439,-0.009791674,chain_0
-0.19955154,-0.011049539,chain_0
-0.19713882,-0.002261173,chain_0
-0.19565,-0.005811758,chain_0
-0.17960583,-0.010380529,chain_0
-0.18526511,-0.0063393246,chain_0
-0.1754381,-0.009385788,chain_0
-0.18029098,-0.0077067018,chain_0
-0.18413101,-0.011079871,chain_0
-0.18635543,-0.0077790823,chain_0
-0.18559411,-0.0069084577,chain_0
-0.18084057,-0.011525743,chain_0
-0.18034907,-0.009978161,chain_0
-0.19065297,-0.0076524992,chain_0
-0.18909518,-0.009298531,chain_0
-0.20688605,-0.0071862806,chain_0
-0.18980654,-0.005573869,chain_0
-0.19452228,-0.006469493,chain_0
-0.19412138,-0.005438878,chain_0
-0.19480182,-0.0031061447,chain_0
-0.19824383,-0.008025641,chain_0
-0.19568016,-0.008024547,chain_0
-0.19333646,-0.006125328,chain_0
-0.19044408,-0.006641485,chain_0
-0.18920588,-0.006953883,chain_0
-0.19822675,-0.0073172287,chain_0
-0.1967741,-0.0037169636,chain_0
-0.18871778,-0.012152714,chain_0
-0.18616247,-0.01075388,chain_0
-0.1817162,-0.0034232864,chain_0
-0.18238126,-0.004416402,chain_0
-0.18901029,-0.008120479,chain_0
-0.1937374,-0.007763916,chain_0
-0.19590975,-0.004643193,chain_0
-0.1923085,-0.0065809465,chain_0
-0.20443873,-0.0054673254,chain_0
-0.20422108,-0.00777652,chain_0
-0.21179329,-0.0069943247,chain_0
-0.19500007,-0.007832839,chain_0
-0.1934557,-0.005378168,chain_0
-0.19463998,-0.005750026,chain_0
-0.17550765,-0.009442528,chain_0
-0.18673976,-0.008929079,chain_0
-0.1914148,-0.0156158805,chain_0
-0.1926804,-0.011079351,chain_0
-0.19548093,-0.004996181,chain_0
-0.21809353,-0.0035416745,chain_0
-0.21036898,-0.0073279627,chain_0
-0.20974655,-0.010777959,chain_0
-0.19882503,-0.014567958,chain_0
-0.19913721,-0.011497304,chain_0
-0.19909981,-0.010894795,chain_0
-0.19908841,-0.008159454,chain_0
-0.1981806,-0.0084814895,chain_0
-0.1872072,-0.0062622176,chain_0
-0.18745226,-0.008461987,chain_0
-0.18500894,-0.0075833336,chain_0
-0.19119899,-0.0059951995,chain_0
-0.19184715,-0.0081204325,chain_0
-0.17763416,-0.010277082,chain_0
-0.17915103,-0.0065171523,chain_0
-0.18764296,-0.010731691,chain_0
-0.20189714,-0.010573443,chain_0
-0.20263481,-0.011241563,chain_0
-0.20287807,-0.00504783,chain_0
-0.20059834,-0.008125287,chain_0
-0.19515787,-0.006133487,chain_0
-0.1990452,-0.005479415,chain_0
-0.20429671,-0.011399716,chain_0
-0.2057027,-0.007883351,chain_0
-0.21503334,-0.0065951934,chain_0
-0.20146446,-0.01102606,chain_0
-0.19988981,-0.009284454,chain_0
-0.18078844,-0.010286358,chain_0
-0.18121503,-0.009779727,chain_0
-0.18590616,-0.0071240137,chain_0
-0.17948419,-0.009662292,chain_0
-0.17933485,-0.008955941,chain_0
-0.17859745,-0.012207045,chain_0
