alpha,beta,chain
-0.20771554,0.16250883,chain_0
-0.1965488,0.18346697,chain_0
-0.23432806,0.17793895,chain_0
-0.21410146,0.18229647,chain_0
-0.18157953,0.15427284,chain_0
-0.19810167,0.17607294,chain_0
-0.20060529,0.17206243,chain_0
-0.19411254,0.1582078,chain_0
-0.2245795,0.19744384,chain_0
-0.2248877,0.19102676,chain_0
-0.23986661,0.2312177,chain_0
-0.22336003,0.19800615,chain_0
-0.21596156,0.19809516,chain_0
-0.22763129,0.19532722,chain_0
-0.21088873,0.18236245,chain_0
-0.20006637,0.1742161,chain_0
-0.21245344,0.15844801,chain_0
-0.21226017,0.17269306,chain_0
-0.21484366,0.1721291,chain_0
-0.19612698,0.17014189,chain_0
-0.2202577,0.19435918,chain_0
-0.20520712,0.16629304,chain_0
-0.20673205,0.18813328,chain_0
-0.2292326,0.1852255,chain_0
-0.22178188,0.17493172,chain_0
-0.22719829,0.18578805,chain_0
-0.2291691,0.18406604,chain_0
-0.2201709,0.19823691,chain_0
-0.204714,0.19394688,chain_0
-0.2479478,0.16533104,chain_0
-0.20896831,0.17918205,chain_0
-0.194821,0.15218672,chain_0
-0.1932083,0.18495207,chain_0
-0.235545,0.1679825,chain_0
-0.23333506,0.17372164,chain_0
-0.2229191,0.19005477,chain_0
-0.21897659,0.16552073,chain_0
-0.2068415,0.13619469,chain_0
-0.22170624,0.20028129,chain_0
-0.1982755,0.155346,chain_0
-0.20990758,0.16746965,chain_0
-0.20644091,0.18004565,chain_0
-0.2448408,0.21954006,chain_0
-0.18669851,0.15031326,chain_0
-0.22500153,0.16464023,chain_0
-0.18858029,0.16244578,chain_0
-0.21433982,0.16797902,chain_0
-0.21132872,0.18033078,chain_0
-0.22743464,0.16684087,chain_0
-0.22111621,0.18532115,chain_0
-0.20994386,0.18170503,chain_0
-0.18402378,0.17906763,chain_0
-0.259901,0.21694544,chain_0
-0.20193188,0.1888202,chain_0
-0.2189588,0.19278245,chain_0
-0.22192934,0.17115852,chain_0
-0.22336279,0.18581718,chain_0
-0.22374599,0.16354713,chain_0
-0.17950031,0.15536511,chain_0
-0.22805196,0.18871628,chain_0
-0.2115921,0.1779773,chain_0
-0.20771001,0.20551035,chain_0
-0.23352037,0.20431213,chain_0
-0.22487098,0.19833887,chain_0
-0.20741868,0.14425592,chain_0
-0.20479587,0.16302805,chain_0
-0.19295146,0.16399914,chain_0
-0.20797412,0.18656014,chain_0
-0.2295566,0.17463638,chain_0
-0.22604506,0.17197013,chain_0
-0.20808284,0.16191621,chain_0
-0.20619139,0.14580669,chain_0
-0.24059694,0.1893211,chain_0
-0.2102097,0.18009603,chain_0
-0.2208035,0.18418597,chain_0
-0.2375848,0.22654285,chain_0
-0.20634322,0.19372445,chain_0
-0.19773212,0.15847845,chain_0
-0.21676226,0.20110044,chain_0
-0.22106627,0.1551314,chain_0
-0.2031242,0.16530511,chain_0
-0.21679579,0.1757977,chain_0
-0.17454335,0.15547234,chain_0
-0.21048515,0.210124,chain_0
-0.22041601,0.17213507,chain_0
-0.20045257,0.17706771,chain_0
-0.24940468,0.20453721,chain_0
-0.23016772,0.18723394,chain_0
-0.22192293,0.22524726,chain_0
-0.24327865,0.20720421,chain_0
-0.21975562,0.16378692,chain_0
-0.17930609,0.16388944,chain_0
-0.19831514,0.1901089,chain_0
-0.20300417,0.15009086,chain_0
-0.20978305,0.17716165,chain_0
-0.23985417,0.19272889,chain_0
-0.19895722,0.16475697,chain_0
-0.21293104,0.18620162,chain_0
-0.21657287,0.18438692,chain_0
-0.19808175,0.15834245,chain_0
-0.18473792,0.16636221,chain_0
-0.20748067,0.17457865,chain_0
-0.20154142,0.13599809,chain_0
-0.22308922,0.17121212,chain_0
-0.20624751,0.15943108,chain_0
-0.19871947,0.16698079,chain_0
-0.20550068,0.19154243,chain_0
-0.22898506,0.19127274,chain_0
-0.18663324,0.19030116,chain_0
-0.22483964,0.18318571,chain_0
-0.22230841,0.19341475,chain_0
-0.22205555,0.20165639,chain_0
-0.22948734,0.19787477,chain_0
-0.2177463,0.20150422,chain_0
-0.25185904,0.22490744,chain_0
-0.21141231,0.1604935,chain_0
-0.21683523,0.17547363,chain_0
-0.1910034,0.19092903,chain_0
-0.19818091,0.16700079,chain_0
-0.19546983,0.17811179,chain_0
-0.21316765,0.17135201,chain_0
-0.20980185,0.17268604,chain_0
-0.22038792,0.20329575,chain_0
-0.21429376,0.17919068,chain_0
-0.2276293,0.17641784,chain_0
-0.22862826,0.20881483,chain_0
-0.2248962,0.18614607,chain_0
-0.20134288,0.18101224,chain_0
-0.20280524,0.18953961,chain_0
-0.22323576,0.16696157,chain_0
-0.22096401,0.17767961,chain_0
-0.22279012,0.17616275,chain_0
-0.23600721,0.19335625,chain_0
-0.23059013,0.1929691,chain_0
-0.20824648,0.15073118,chain_0
-0.24280587,0.22674958,chain_0
-0.19655912,0.16616115,chain_0
-0.2255797,0.21387023,chain_0
-0.20477156,0.17027502,chain_0
-0.20149904,0.15815136,chain_0
-0.24104585,0.20044124,chain_0
-0.24237621,0.21171989,chain_0
-0.22644243,0.18001457,chain_0
-0.22878312,0.16560236,chain_0
-0.2236287,0.20379986,chain_0
-0.22926517,0.16965178,chain_0
-0.22239089,0.19170426,chain_0
-0.19066733,0.1418363,chain_0
-0.20792873,0.1848167,chain_0
-0.1889204,0.15378629,chain_0
-0.23332293,0.1578321,chain_0
-0.19257072,0.1619131,chain_0
-0.23936984,0.21282265,chain_0
-0.2367242,0.16065037,chain_0
-0.203724,0.16888545,chain_0
-0.19974439,0.18240063,chain_0
-0.24718599,0.18823478,chain_0
-0.22003657,0.1798163,chain_0
-0.20078656,0.18809076,chain_0
-0.2109309,0.17256175,chain_0
-0.18535286,0.17845817,chain_0
-0.22009622,0.18062735,chain_0
-0.20190555,0.15467645,chain_0
-0.18821567,0.14929318,chain_0
-0.18935032,0.14827001,chain_0
-0.22507511,0.1920146,chain_0
-0.23438299,0.18356074,chain_0
-0.23779164,0.18864647,chain_0
-0.18921848,0.1783884,chain_0
-0.20912687,0.20308971,chain_0
-0.23532265,0.20136648,chain_0
-0.26337552,0.21962713,chain_0
-0.20895356,0.18305607,chain_0
-0.21106862,0.18537661,chain_0
-0.19248803,0.16279075,chain_0
-0.1979476,0.1822227,chain_0
-0.2460947,0.20265494,chain_0
-0.21943302,0.17687565,chain_0
-0.19163948,0.17910503,chain_0
-0.25059238,0.19317077,chain_0
-0.21523948,0.19319439,chain_0
-0.20597449,0.16678119,chain_0
-0.23564419,0.19442259,chain_0
-0.24790126,0.18363446,chain_0
-0.23350647,0.17134021,chain_0
-0.20527378,0.17555629,chain_0
-0.21666278,0.20063764,chain_0
-0.22594313,0.16043673,chain_0
-0.20609696,0.17851876,chain_0
-0.2108406,0.21116759,chain_0
-0.21452042,0.18991525,chain_0
-0.21985425,0.15995535,chain_0
-0.21865758,0.16418453,chain_0
-0.18891542,0.15929782,chain_0
-0.20860055,0.16468695,chain_0
-0.21836615,0.20105547,chain_0
-0.21923515,0.15749103,chain_0
-0.19601415,0.13875933,chain_0
-0.21872821,0.22919238,chain_0
-0.21809742,0.18793637,chain_0
-0.2199291,0.16945532,chain_0
-0.21650636,0.1972087,chain_0
-0.18774287,0.16097325,chain_0
-0.2340618,0.2020932,chain_0
-0.19627501,0.16323833,chain_0
-0.2204517,0.17502297,chain_0
-0.22147495,0.15666547,chain_0
-0.21512008,0.19317271,chain_0
-0.23355068,0.2094187,chain_0
-0.19625747,0.13539878,chain_0
-0.1875278,0.15487072,chain_0
-0.21269321,0.16870145,chain_0
-0.21273103,0.14634532,chain_0
-0.22312437,0.18078226,chain_0
-0.23144175,0.20168053,chain_0
-0.22878021,0.2000542,chain_0
-0.19920063,0.1843806,chain_0
-0.22312349,0.20758337,chain_0
-0.20072353,0.13941969,chain_0
-0.19933237,0.18076915,chain_0
-0.19057938,0.19119635,chain_0
-0.24964237,0.2106462,chain_0
-0.23416698,0.1763299,chain_0
-0.21490492,0.19340485,chain_0
-0.24723475,0.17215066,chain_0
-0.2257592,0.1803138,chain_0
-0.20168498,0.1770578,chain_0
-0.20711513,0.17903738,chain_0
-0.19968331,0.17712764,chain_0
-0.21558253,0.18254986,chain_0
-0.21885552,0.21779457,chain_0
-0.19390711,0.1663881,chain_0
-0.21229027,0.21933381,chain_0
-0.2280653,0.17961282,chain_0
-0.24772349,0.19664511,chain_0
-0.19228943,0.14180349,chain_0
-0.21344203,0.18124427,chain_0
-0.2171305,0.17202355,chain_0
-0.21695003,0.1815378,chain_0
-0.2197124,0.19548342,chain_0
-0.21578796,0.19898391,chain_0
-0.21413983,0.1828708,chain_0
-0.23402011,0.19741383,chain_0
-0.23072039,0.19532833,chain_0
-0.2548941,0.19377215,chain_0
-0.22292492,0.18483484,chain_0
-0.23296772,0.18993604,chain_0
-0.19238892,0.16351128,chain_0
-0.20145445,0.16261451,chain_0
-0.21013612,0.15615071,chain_0
-0.2085168,0.1755239,chain_0
-0.22294879,0.16872694,chain_0
-0.21629892,0.17367572,chain_0
-0.22347902,0.18933575,chain_0
-0.2345795,0.23957705,chain_0
-0.2166842,0.190934,chain_0
-0.20271142,0.2068095,chain_0
-0.2132108,0.20421036,chain_0
-0.19789843,0.16501798,chain_0
-0.20316932,0.18290298,chain_0
-0.2154383,0.19996381,chain_0
-0.19515166,0.16314149,chain_0
-0.21065177,0.1526563,chain_0
-0.19511357,0.18695207,chain_0
-0.22967763,0.19064502,chain_0
-0.23016065,0.1963553,chain_0
-0.23419541,0.1863227,chain_0
-0.24596518,0.17808194,chain_0
-0.22797085,0.20519622,chain_0
-0.20671073,0.16334762,chain_0
-0.21266414,0.18469113,chain_0
-0.22767378,0.16230334,chain_0
-0.22748727,0.17275257,chain_0
-0.18558575,0.1556087,chain_0
-0.21980825,0.20810108,chain_0
-0.22058463,0.18735296,chain_0
-0.19860502,0.16832463,chain_0
-0.19957241,0.18448843,chain_0
-0.20424865,0.14324206,chain_0
-0.20749065,0.17508616,chain_0
-0.20347434,0.17798603,chain_0
-0.24918579,0.21065184,chain_0
-0.23047207,0.18762918,chain_0
-0.21722841,0.19737768,chain_0
-0.21676242,0.17119385,chain_0
-0.23254868,0.18333562,chain_0
-0.18779296,0.15668403,chain_0
-0.1903121,0.16329812,chain_0
-0.21621183,0.15987958,chain_0
-0.22166859,0.201097,chain_0
-0.19579229,0.18793026,chain_0
-0.21393226,0.16558081,chain_0
-0.23838694,0.1896947,chain_0
-0.23212624,0.2074607,chain_0
-0.24210282,0.17770986,chain_0
-0.18646525,0.13689114,chain_0
-0.21456786,0.18688187,chain_0
-0.19043432,0.18858999,chain_0
-0.19940954,0.17354693,chain_0
-0.20653307,0.16256022,chain_0
-0.20219839,0.15624602,chain_0
-0.19147716,0.19087647,chain_0
-0.18831451,0.1434446,chain_0
-0.2111373,0.18061325,chain_0
-0.22809756,0.17880379,chain_0
-0.20173514,0.15380536,chain_0
-0.23298545,0.21816859,chain_0
-0.21017712,0.17699023,chain_0
-0.24551256,0.19210607,chain_0
-0.19166483,0.14939417,chain_0
-0.23007071,0.20298395,chain_0
-0.22099596,0.17764924,chain_0
-0.22862928,0.17170507,chain_0
-0.20758638,0.15329847,chain_0
-0.20634879,0.18435843,chain_0
-0.22969168,0.20761862,chain_0
-0.23256566,0.20333615,chain_0
-0.21234427,0.17537498,chain_0
-0.19623758,0.18207487,chain_0
-0.21780746,0.18663962,chain_0
-0.21017286,0.15463956,chain_0
-0.23555574,0.19928382,chain_0
-0.19828911,0.17972095,chain_0
-0.23472986,0.20799017,chain_0
-0.19356954,0.16582993,chain_0
-0.21625216,0.17398465,chain_0
-0.22269593,0.16450524,chain_0
-0.21444514,0.18560284,chain_0
-0.23256831,0.16408941,chain_0
-0.20385015,0.17079607,chain_0
-0.20401664,0.21445917,chain_0
-0.1994809,0.15563169,chain_0
-0.21712309,0.19213562,chain_0
-0.24200119,0.21360458,chain_0
-0.20806962,0.17587471,chain_0
-0.2233984,0.16964808,chain_0
-0.1884697,0.1341227,chain_0
-0.2252123,0.18898252,chain_0
-0.19057208,0.1614492,chain_0
-0.2281281,0.18908037,chain_0
-0.20785438,0.18032788,chain_0
-0.21420522,0.18049501,chain_0
-0.20643555,0.15341726,chain_0
-0.21599056,0.18533139,chain_0
-0.21372904,0.20336238,chain_0
-0.21981762,0.17187113,chain_0
-0.20224407,0.1700668,chain_0
-0.22802025,0.1907064,chain_0
-0.2167411,0.20639795,chain_0
-0.24062352,0.20561002,chain_0
-0.2116692,0.17404976,chain_0
-0.2224034,0.1863846,chain_0
-0.23061357,0.22822654,chain_0
-0.23381284,0.18780082,chain_0
