alpha,beta,chain
-0.18443489,0.1410535,chain_0
-0.2114582,0.1672326,chain_0
-0.21644402,0.16352268,chain_0
-0.20903969,0.18838274,chain_0
-0.22962761,0.19892403,chain_0
-0.21764374,0.17704725,chain_0
-0.25884247,0.18173102,chain_0
-0.21810913,0.16326192,chain_0
-0.23074913,0.1802986,chain_0
-0.22586823,0.17489927,chain_0
-0.21471405,0.15323839,chain_0
-0.2169075,0.1868734,chain_0
-0.22232437,0.17963384,chain_0
-0.21193504,0.15362917,chain_0
-0.20078468,0.15681607,chain_0
-0.23229599,0.17098512,chain_0
-0.20288467,0.18143243,chain_0
-0.20169067,0.16907531,chain_0
-0.19935036,0.15221968,chain_0
-0.19159698,0.14260992,chain_0
-0.20871353,0.1740716,chain_0
-0.22976494,0.18617159,chain_0
-0.21763039,0.20008023,chain_0
-0.22847939,0.16712613,chain_0
-0.22938156,0.20993261,chain_0
-0.2354393,0.17884922,chain_0
-0.20427513,0.18986061,chain_0
-0.20155334,0.17029665,chain_0
-0.20446014,0.16541363,chain_0
-0.2321682,0.20028093,chain_0
-0.19403648,0.1600283,chain_0
-0.21436691,0.17324783,chain_0
-0.21546364,0.1848779,chain_0
-0.21341515,0.17256959,chain_0
-0.2001915,0.1817124,chain_0
-0.22275162,0.18536538,chain_0
-0.24707794,0.18500558,chain_0
-0.2024231,0.18144271,chain_0
-0.20807648,0.16852927,chain_0
-0.18659592,0.19590461,chain_0
-0.19692421,0.15581968,chain_0
-0.2075119,0.18532686,chain_0
-0.18170166,0.14754076,chain_0
-0.24721909,0.18833418,chain_0
-0.20664406,0.19104017,chain_0
-0.20440483,0.18162353,chain_0
-0.20663261,0.15731174,chain_0
-0.21554565,0.18665445,chain_0
-0.19202805,0.15165846,chain_0
-0.1890316,0.17116217,chain_0
-0.19937897,0.16791447,chain_0
-0.22029495,0.17868276,chain_0
-0.21282387,0.15846886,chain_0
-0.20820618,0.16867566,chain_0
-0.19949913,0.15956189,chain_0
-0.23337173,0.19609974,chain_0
-0.20307732,0.15065096,chain_0
-0.20636177,0.1438923,chain_0
-0.2252388,0.19714645,chain_0
-0.20954895,0.19457287,chain_0
-0.20606041,0.19253752,chain_0
-0.20389938,0.13841955,chain_0
-0.22221565,0.18130328,chain_0
-0.2271347,0.1933906,chain_0
-0.22228241,0.19134805,chain_0
-0.20940399,0.14988655,chain_0
-0.18315887,0.15512447,chain_0
-0.2086277,0.1811381,chain_0
-0.18989754,0.1636323,chain_0
-0.19734383,0.15217476,chain_0
-0.18831444,0.18682313,chain_0
-0.2161541,0.18014282,chain_0
-0.17724419,0.15647207,chain_0
-0.22411156,0.17835233,chain_0
-0.21608925,0.17063756,chain_0
-0.2514,0.20881465,chain_0
-0.21643257,0.18900687,chain_0
-0.20321846,0.1278738,chain_0
-0.20391083,0.19152094,chain_0
-0.20780182,0.17139684,chain_0
-0.2072773,0.20038028,chain_0
-0.2073555,0.18133274,chain_0
-0.23026466,0.18155698,chain_0
-0.21849823,0.18173291,chain_0
-0.23998451,0.2026711,chain_0
-0.20791626,0.17381135,chain_0
-0.23768806,0.17148301,chain_0
-0.2230339,0.17214723,chain_0
-0.20461655,0.19123492,chain_0
-0.18772697,0.17433615,chain_0
-0.20129585,0.18492603,chain_0
-0.21316528,0.20226972,chain_0
-0.20166397,0.16024375,chain_0
-0.22574997,0.18632576,chain_0
-0.20347214,0.15399702,chain_0
-0.25470924,0.21546595,chain_0
-0.22672272,0.19095996,chain_0
-0.22347832,0.20456967,chain_0
-0.19067001,0.14798297,chain_0
-0.21273041,0.17272136,chain_0
-0.22974396,0.17048763,chain_0
-0.20953178,0.17694756,chain_0
-0.21086693,0.18937725,chain_0
-0.269022,0.24139035,chain_0
-0.22725677,0.14768219,chain_0
-0.2282219,0.17739227,chain_0
-0.2132225,0.17960729,chain_0
-0.20607948,0.18262966,chain_0
-0.2109375,0.1578051,chain_0
-0.23628998,0.21157372,chain_0
-0.23642349,0.18728271,chain_0
-0.22754478,0.21156923,chain_0
-0.2641964,0.25079644,chain_0
-0.21204948,0.17118965,chain_0
-0.21364212,0.17395532,chain_0
-0.24389648,0.1835999,chain_0
-0.19693565,0.15732495,chain_0
-0.18678093,0.17400973,chain_0
-0.21245956,0.19631203,chain_0
-0.22213364,0.16889518,chain_0
-0.21355247,0.17716509,chain_0
-0.20516396,0.18369247,chain_0
-0.21284676,0.21113941,chain_0
-0.21661758,0.2053285,chain_0
-0.21675491,0.1971486,chain_0
-0.20648384,0.19011876,chain_0
-0.21458817,0.17325301,chain_0
-0.21257591,0.19176531,chain_0
-0.24331474,0.2121277,chain_0
-0.22481918,0.19679607,chain_0
-0.21755028,0.20048308,chain_0
-0.20313835,0.16497622,chain_0
-0.22603989,0.1842814,chain_0
-0.2233181,0.1798397,chain_0
-0.20492554,0.19300386,chain_0
-0.21066475,0.16846044,chain_0
-0.25411606,0.22882587,chain_0
-0.21824646,0.17096952,chain_0
-0.26708603,0.23068352,chain_0
-0.20716858,0.17159423,chain_0
-0.22903442,0.19008744,chain_0
-0.24023819,0.19382824,chain_0
-0.20977783,0.15400806,chain_0
-0.20207405,0.14411257,chain_0
-0.1916771,0.15003678,chain_0
-0.21605682,0.20044799,chain_0
-0.18752289,0.15972292,chain_0
-0.224226,0.19746216,chain_0
-0.22527695,0.15902476,chain_0
-0.22679329,0.18408847,chain_0
-0.21794128,0.17382479,chain_0
-0.2581997,0.19149362,chain_0
-0.23062515,0.21026075,chain_0
-0.20014,0.20626563,chain_0
-0.19386482,0.17640959,chain_0
-0.23138237,0.17944299,chain_0
-0.2192173,0.1747854,chain_0
-0.20942307,0.16166528,chain_0
-0.22029877,0.1937342,chain_0
-0.20229149,0.15066111,chain_0
-0.19840813,0.19955264,chain_0
-0.21819496,0.15972508,chain_0
-0.21454811,0.17369413,chain_0
-0.21995926,0.18048614,chain_0
-0.2322731,0.17045872,chain_0
-0.21034622,0.18292275,chain_0
-0.22107315,0.19465066,chain_0
-0.19393158,0.18233955,chain_0
-0.22039413,0.20421854,chain_0
-0.21411133,0.18369015,chain_0
-0.21753883,0.19611645,chain_0
-0.20370674,0.17977898,chain_0
-0.18703842,0.16037267,chain_0
-0.18832779,0.16505732,chain_0
-0.21361351,0.18257244,chain_0
-0.22818184,0.17268918,chain_0
-0.21526146,0.16090804,chain_0
-0.23826599,0.17919555,chain_0
-0.21840286,0.18276227,chain_0
-0.25858688,0.20810287,chain_0
-0.18634224,0.18262282,chain_0
-0.22938919,0.17891712,chain_0
-0.25589943,0.21428071,chain_0
-0.17744446,0.14951144,chain_0
-0.18035316,0.16358665,chain_0
-0.20205116,0.17799619,chain_0
-0.22601318,0.2129419,chain_0
-0.19721794,0.13753852,chain_0
-0.23109627,0.1661748,chain_0
-0.21686172,0.1922078,chain_0
-0.20440483,0.171805,chain_0
-0.21122551,0.18954946,chain_0
-0.21221733,0.16810918,chain_0
-0.20704842,0.1678364,chain_0
-0.21250725,0.16835244,chain_0
-0.23408127,0.1909064,chain_0
-0.25465775,0.20408867,chain_0
-0.2092495,0.18811324,chain_0
-0.24121475,0.19171391,chain_0
-0.22524261,0.18761216,chain_0
-0.19576836,0.16363013,chain_0
-0.21848106,0.19339576,chain_0
-0.20382881,0.19400637,chain_0
-0.24528694,0.20776471,chain_0
-0.2368164,0.17721671,chain_0
-0.20030594,0.15552427,chain_0
-0.21302414,0.1661298,chain_0
-0.20534706,0.17380542,chain_0
-0.22028351,0.16438839,chain_0
-0.19121933,0.15923342,chain_0
-0.228796,0.16053379,chain_0
-0.21971321,0.20787455,chain_0
-0.19648933,0.18641533,chain_0
-0.21826553,0.17258818,chain_0
-0.2310524,0.16531503,chain_0
-0.18787193,0.15350558,chain_0
-0.20544243,0.19367148,chain_0
-0.18559074,0.15049283,chain_0
-0.20254517,0.18535143,chain_0
-0.20482635,0.16580066,chain_0
-0.21264458,0.1785152,chain_0
-0.24265671,0.19423729,chain_0
-0.20346832,0.20310715,chain_0
-0.18496132,0.16083752,chain_0
-0.2126236,0.17000747,chain_0
-0.21871948,0.18480079,chain_0
-0.19387245,0.19096644,chain_0
-0.2004776,0.16904384,chain_0
-0.20149422,0.16362965,chain_0
-0.22886848,0.16998447,chain_0
-0.1936531,0.14117612,chain_0
-0.20666504,0.19018908,chain_0
-0.19705391,0.16067873,chain_0
-0.20199394,0.14341053,chain_0
-0.19664192,0.16879305,chain_0
-0.22098732,0.16385464,chain_0
-0.1936779,0.16162471,chain_0
-0.20462418,0.15936914,chain_0
-0.19554138,0.15156016,chain_0
-0.21509743,0.18673243,chain_0
-0.21647835,0.18782227,chain_0
-0.21851921,0.15647994,chain_0
-0.23919678,0.20629713,chain_0
-0.18760681,0.14417194,chain_0
-0.18771553,0.14959292,chain_0
-0.23766136,0.1944637,chain_0
-0.23895454,0.20838472,chain_0
-0.21018982,0.15478808,chain_0
-0.215065,0.187839,chain_0
-0.23669624,0.2006419,chain_0
-0.19933319,0.1579477,chain_0
-0.25377655,0.18552406,chain_0
-0.20658112,0.16416965,chain_0
-0.23131943,0.20073633,chain_0
-0.19377136,0.14392762,chain_0
-0.21090698,0.16903532,chain_0
-0.21440887,0.16906041,chain_0
-0.21109772,0.15501784,chain_0
-0.19781494,0.17640473,chain_0
-0.22480392,0.17823613,chain_0
-0.20933342,0.17681694,chain_0
-0.22062874,0.17443794,chain_0
-0.21749878,0.18425435,chain_0
-0.19390869,0.17578082,chain_0
-0.21243286,0.18513751,chain_0
-0.23491478,0.21809854,chain_0
-0.23047447,0.2482531,chain_0
-0.23263168,0.18266894,chain_0
-0.21985054,0.18525377,chain_0
-0.20999527,0.15420078,chain_0
-0.1989727,0.16758716,chain_0
-0.2123661,0.16670685,chain_0
-0.20555687,0.16243805,chain_0
-0.2274189,0.17770758,chain_0
-0.20863152,0.17803401,chain_0
-0.21978569,0.17897964,chain_0
-0.2214489,0.19755617,chain_0
-0.23592377,0.21527462,chain_0
-0.23280907,0.18633196,chain_0
-0.18527985,0.1705078,chain_0
-0.21100044,0.19747654,chain_0
-0.22344589,0.18146862,chain_0
-0.21456146,0.1995027,chain_0
-0.19847488,0.1570251,chain_0
-0.22369385,0.19541195,chain_0
-0.23755646,0.17903696,chain_0
-0.21877289,0.1753369,chain_0
-0.23723984,0.1879721,chain_0
-0.1979084,0.15324415,chain_0
-0.21164513,0.17081982,chain_0
-0.17914009,0.16930802,chain_0
-0.20833778,0.18855514,chain_0
-0.19775009,0.18431586,chain_0
-0.2082138,0.1621099,chain_0
-0.24924469,0.19159219,chain_0
-0.2423687,0.17215592,chain_0
-0.2121048,0.16229196,chain_0
-0.22847176,0.18343757,chain_0
-0.22874641,0.19380109,chain_0
-0.19800949,0.17510304,chain_0
-0.21006775,0.15940252,chain_0
-0.21532822,0.1888167,chain_0
-0.188097,0.17964038,chain_0
-0.21961212,0.14383093,chain_0
-0.1953888,0.18749881,chain_0
-0.23163223,0.19052194,chain_0
-0.18559837,0.13798532,chain_0
-0.2148552,0.1802381,chain_0
-0.24235153,0.19259399,chain_0
-0.20868492,0.17158926,chain_0
-0.22478104,0.15869923,chain_0
-0.20295143,0.163383,chain_0
-0.2224617,0.19510612,chain_0
-0.23668289,0.19905642,chain_0
-0.22434616,0.17986763,chain_0
-0.19834328,0.21073122,chain_0
-0.23090172,0.19105998,chain_0
-0.18575478,0.15499388,chain_0
-0.20093536,0.16394207,chain_0
-0.2260704,0.18527688,chain_0
-0.18864822,0.16808952,chain_0
-0.21828079,0.19328777,chain_0
-0.22595406,0.15965426,chain_0
-0.22210693,0.1752283,chain_0
-0.20668602,0.1817448,chain_0
-0.22185516,0.19148998,chain_0
-0.21661758,0.20088187,chain_0
-0.20344925,0.14595245,chain_0
-0.23390388,0.19993639,chain_0
-0.21761513,0.17932647,chain_0
-0.20683098,0.18859613,chain_0
-0.21204758,0.18454091,chain_0
-0.1909523,0.20066151,chain_0
-0.23602486,0.19339761,chain_0
-0.21567154,0.17830805,chain_0
-0.23241043,0.2128641,chain_0
-0.23789597,0.212335,chain_0
-0.18933487,0.15245529,chain_0
-0.23203087,0.18530902,chain_0
-0.20113945,0.19076976,chain_0
-0.20767403,0.187357,chain_0
-0.21429443,0.1698886,chain_0
-0.21781921,0.17278533,chain_0
-0.2245655,0.17579536,chain_0
-0.19514847,0.1447337,chain_0
-0.23424721,0.15586577,chain_0
-0.23528862,0.17946248,chain_0
-0.19005013,0.1574733,chain_0
-0.2300911,0.17011037,chain_0
-0.19554138,0.18001945,chain_0
-0.2096901,0.17981736,chain_0
-0.22098732,0.19188608,chain_0
-0.2107811,0.2010313,chain_0
-0.21720314,0.17497738,chain_0
-0.23973465,0.1718027,chain_0
-0.22033882,0.20628752,chain_0
-0.21546555,0.17872605,chain_0
-0.23264313,0.16612613,chain_0
-0.20993996,0.16578504,chain_0
-0.23548889,0.18710312,chain_0
-0.18735123,0.19205685,chain_0
-0.21836853,0.16406433,chain_0
-0.19161987,0.1856035,chain_0
-0.19570923,0.17146717,chain_0
