beta0,beta1,beta2,beta3,sigma,chain
11.92373,2.4647055,7.221754,-6.243557,12.233861,chain_0
16.00616,17.342953,-14.835366,-2.7280164,8.229738,chain_0
17.2224,-4.674142,21.162365,-13.923551,9.910931,chain_0
15.181056,13.079265,-28.621737,18.147688,11.0849085,chain_0
18.76513,4.98136,8.749118,-17.183874,12.156048,chain_0
19.149899,12.453026,6.623995,-14.235626,10.921671,chain_0
19.155396,7.547997,-8.315674,4.0006213,11.246498,chain_0
17.994413,-15.971384,15.778279,4.776298,9.504574,chain_0
15.826389,7.386358,-7.560474,-0.08999878,7.765497,chain_0
15.07554,-18.754208,21.225258,-3.7630424,9.614435,chain_0
16.750946,32.36792,-22.36398,-11.361538,8.76261,chain_0
18.221697,3.7548602,-32.346996,33.618797,11.777898,chain_0
15.458588,6.4726954,-23.80556,14.46198,15.178796,chain_0
15.174106,-1.969696,8.852152,-4.7901855,10.594301,chain_0
13.225861,-6.578109,1.0979382,5.1288466,11.74132,chain_0
22.371716,25.034428,5.1320095,-29.223667,16.94716,chain_0
14.504266,14.55097,-1.1670464,-14.000142,12.055239,chain_0
17.494743,10.216889,8.457426,-18.85222,12.48418,chain_0
15.243832,61.08899,-33.04617,-25.184467,17.689522,chain_0
14.992815,20.91584,3.1480923,-28.382671,8.896082,chain_0
15.544549,2.230149,28.300869,-27.199337,10.909431,chain_0
15.52041,0.13387679,-9.422465,9.592499,10.508701,chain_0
17.534264,7.3116536,-14.759073,5.986582,8.680364,chain_0
18.332527,14.315401,-11.31581,-4.4652357,8.218434,chain_0
19.748514,29.717634,-54.086704,26.116344,10.074493,chain_0
15.189021,-0.69766057,51.99184,-53.319378,12.2395735,chain_0
18.633255,12.002972,-11.7823715,-3.9195657,8.395207,chain_0
19.721428,14.929887,-1.457365,-17.399208,13.914042,chain_0
20.494572,11.787982,9.168008,-18.320608,12.153668,chain_0
14.544676,25.169079,-57.62538,34.804646,17.097496,chain_0
19.331657,22.270443,-26.082544,0.3278978,10.248311,chain_0
17.289198,-2.9967468,3.9393253,-3.6841948,10.96945,chain_0
12.820007,14.59551,-2.5797596,-11.970163,9.348676,chain_0
19.40548,8.501281,11.780496,-18.767523,10.841038,chain_0
18.910126,16.844568,5.359214,-21.376423,9.759981,chain_0
14.947119,-20.124895,40.952423,-16.618507,11.268891,chain_0
18.629894,1.4759061,-21.50177,17.576109,9.944716,chain_0
18.625841,35.75507,-16.356953,-17.499832,13.2652025,chain_0
15.694839,1.0518162,-2.1183426,0.5747754,12.292113,chain_0
16.062496,18.04495,-6.143775,-12.67452,8.436939,chain_0
13.314372,6.0016704,16.493458,-19.696222,7.6521215,chain_0
12.192577,-15.073591,-7.1668,19.658363,13.019676,chain_0
18.001997,-3.8151388,48.195324,-40.713123,12.113712,chain_0
16.230988,4.5085125,16.06746,-14.957064,14.338844,chain_0
24.421566,10.554914,2.4500508,-13.691504,16.180473,chain_0
17.989376,6.007784,7.1848397,-14.189916,12.122325,chain_0
14.72143,-0.24393654,18.386196,-18.390759,11.137706,chain_0
23.47131,13.779584,-19.307966,6.945237,11.28899,chain_0
21.275173,19.376434,-13.824771,-6.421242,11.245753,chain_0
14.851682,0.660576,0.3580464,0.85138464,13.396971,chain_0
18.237265,32.190704,-7.3159513,-23.91744,10.401799,chain_0
18.231592,-10.681127,33.19365,-25.776337,10.682965,chain_0
13.551349,2.0868332,-1.8249488,-1.637034,10.764617,chain_0
14.909899,11.1622715,6.919445,-18.184898,8.514332,chain_0
18.554415,6.63275,1.6036702,-7.3426704,11.828642,chain_0
19.566156,2.565905,23.054047,-27.309288,10.988211,chain_0
21.535835,14.408311,-20.449131,6.0347023,10.13746,chain_0
15.1785145,12.758729,1.2723336,-15.956633,8.08669,chain_0
18.86308,13.826611,-18.731224,2.365343,8.931849,chain_0
15.86897,-7.1756945,-3.251184,6.3448977,10.533048,chain_0
19.569954,33.863712,-44.95111,10.226353,11.603876,chain_0
18.281813,26.848804,-31.736797,5.8849783,12.034635,chain_0
15.667426,12.200902,-12.572198,-2.6403003,11.123428,chain_0
16.272083,29.367914,2.2942114,-30.102861,14.334216,chain_0
18.017237,6.5966325,9.556398,-10.771524,10.238025,chain_0
14.691687,-5.2129927,24.047653,-16.863821,13.399469,chain_0
19.576944,16.484705,3.690383,-19.910488,8.994296,chain_0
18.740488,-1.0405909,1.7068579,0.047121212,9.634754,chain_0
14.9788065,4.930725,18.41112,-24.134169,11.947735,chain_0
14.534698,-7.642608,13.525254,-4.4603343,9.024173,chain_0
14.627808,2.0788698,-10.504939,11.380503,10.390231,chain_0
