parameters,values
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
prior_day_1,10.0
prior_day_1,-10.0
